PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
14,Cagliari Calcio,26,7,4,15,-18,25,23,41,16,12,4,2,6,-10,14,10,20,1.17,0.96,0.21,2017-2018
15,Chievo Verona,26,6,7,13,-20,25,23,43,13,12,4,3,5,-3,15,13,16,1.25,0.96,0.29,2017-2018
16,Sassuolo Calcio,26,6,5,15,-31,23,15,46,11,12,5,5,2,1,20,14,13,1.67,0.88,0.79,2017-2018
17,FC Crotone,26,5,6,15,-24,21,23,47,18,12,4,2,6,-2,14,17,19,1.17,0.81,0.36,2017-2018
18,SPAL 2013 Ferrara,26,4,8,14,-23,20,26,49,17,12,4,6,2,3,18,13,10,1.5,0.77,0.73,2017-2018
19,Hellas Verona,26,5,4,17,-27,19,24,51,19,12,2,0,10,-21,6,6,27,0.5,0.73,-0.23,2017-2018
20,Benevento Calcio,26,3,1,22,-42,10,18,60,20,12,3,2,7,-9,11,15,24,0.92,0.38,0.54,2017-2018
1,Juventus,26,22,0,4,38,66,55,17,1,12,7,4,1,12,25,22,10,2.08,2.54,-0.46,2016-2017
2,AS Roma,26,19,2,5,34,59,57,23,2,12,9,1,2,18,28,33,15,2.33,2.27,0.06,2016-2017
3,SSC Napoli,26,16,6,4,31,54,60,29,3,12,10,2,0,24,32,34,10,2.67,2.08,0.59,2016-2017
4,Atalanta,26,16,3,7,16,51,42,26,4,12,5,6,1,5,21,20,15,1.75,1.96,-0.21,2016-2017
5,Lazio Roma,26,15,5,6,16,50,45,29,5,12,6,2,4,7,20,29,22,1.67,1.92,-0.25,2016-2017
6,Inter,26,15,3,8,14,48,41,27,7,12,4,2,6,9,14,31,22,1.17,1.85,-0.68,2016-2017
7,AC Milan,26,14,5,7,8,47,37,29,6,12,4,4,4,4,16,20,16,1.33,1.81,-0.48,2016-2017
8,ACF Fiorentina,26,11,8,7,7,41,44,37,8,12,5,4,3,-1,19,19,20,1.58,1.58,0.0,2016-2017
9,Torino FC,26,9,9,8,6,36,48,42,9,12,4,5,3,-1,17,23,24,1.42,1.38,0.04,2016-2017
